Ano;Total Vendido por Ano;Grupo
2008;6124226;Dolares
2009;8218207;Dolares
2010;1930512;Dolares
2011;2698169;Dolares
2012;4616928;Dolares
2013;21643628;Dolares
2014;5934058;Dolares
2015;2160488;Dolares
2016;3774931;Dolares
2017;6504311;Dolares
2018;6839977;Dolares
2019;5401125;Dolares
2020;5552857;Dolares
2021;9035782;Dolares
2022;9177579;Dolares
2008;9793649;Litros
2009;24977063;Litros
2010;1095251;Litros
2011;992503;Litros
2012;5373911;Litros
2013;8906298;Litros
2014;1789680;Litros
2015;942243;Litros
2016;1586267;Litros
2017;2703837;Litros
2018;3652391;Litros
2019;2974205;Litros
2020;4187927;Litros
2021;7755876;Litros
2022;6729927;Litros
